FileName	X1	Y1	X2	Y2	Frame
0X100009310A3BD7FC.avi	51.26041667	15.34895833	64.93229167	69.125	46
0X100009310A3BD7FC.avi	50.03761083	17.16784126	53.36722189	16.32132997	46
0X100009310A3BD7FC.avi	49.15737821	20.40762939	57.09054885	18.3907216	46
0X100009310A3BD7FC.avi	48.5381733	23.58105455	59.99733911	20.66770731	46
0X100009310A3BD7FC.avi	47.91896839	26.7544797	62.90412937	22.94469301	46
0X100009310A3BD7FC.avi	47.9621045	29.75951307	65.81091963	25.22167871	46
0X100009310A3BD7FC.avi	48.16791529	32.72318847	68.24704281	27.61832554	46
0X100009310A3BD7FC.avi	48.37372608	35.68686387	70.38531105	30.0906982	46
0X100009310A3BD7FC.avi	48.57953687	38.65053927	72.5235793	32.56307085	46
0X100009310A3BD7FC.avi	49.01403934	41.55607271	74.15164369	35.16515635	46
0X100009310A3BD7FC.avi	49.83099892	44.3643713	75.71299787	37.78420208	46
0X100009310A3BD7FC.avi	50.64795851	47.17266989	77.27435205	40.4032478	46
0X100009310A3BD7FC.avi	51.4649181	49.98096847	78.64469427	43.07085589	46
0X100009310A3BD7FC.avi	52.54732826	52.72177963	79.48537463	45.87312377	46
0X100009310A3BD7FC.avi	53.7042693	55.44364225	80.326055	48.67539165	46
0X100009310A3BD7FC.avi	54.36563	58.29149988	80.609375	51.61936132	46
0X100009310A3BD7FC.avi	51.15135239	62.12468928	80.609375	54.63536149	46
0X100009310A3BD7FC.avi	49.33671909	65.6020369	80.4312144	57.69665674	46
0X100009310A3BD7FC.avi	50.3482871	68.36085877	80.06545076	60.80564767	46
0X100009310A3BD7FC.avi	57.51297555	69.55532799	79.69968713	63.9146386	46
0X100009310A3BD7FC.avi	71.93835296	68.90385933	79.33392349	67.02362953	46
